Group,Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
A,longscissors.png,brain.png,orca.png,longnotepad.png,longscissors.mp3,1,critical no contrast,1011,1633,1011,2317
A,longpeapod.png,shortpeapod.png,shortbroom.png,cap.png,shortpeapod.mp3,2,critical with contrast,914,1526,914,2287
A,wateringcan.png,fatpig.png,fatbowlingpin.png,dice.png,fatbowlingpin.mp3,3,critical no contrast,1007,1689,1007,2353
A,talltree.png,crayon.png,shortmug.png,tallmug.png,tallmug.mp3,4,critical with contrast,957,1507,957,2028
A,widechair.png,bomb.png,flashlight.png,widebottle.png,widechair.mp3,1,critical no contrast,894,1519,894,1978
A,deer.png,longshell.png,longdart.png,lime.png,longshell.mp3,2,critical no contrast,1095,1611,1095,2160
A,volleyball.png,longsword.png,longwrench.png,shortwrench.png,longwrench.mp3,3,critical with contrast,918,1390,918,2162
A,longnail.png,iron.png,shortbat.png,longbat.png,longbat.mp3,4,critical with contrast,1063,1766,1063,2213
A,longtoothbrush.png,shorttoothbrush.png,pan.png,longdress.png,longtoothbrush.mp3,1,critical with contrast,972,1615,972,2446
A,bag.png,shortmarker.png,shortfork.png,seal.png,shortmarker.mp3,2,critical no contrast,935,1471,935,2015
A,globe.png,shortcandle.png,shortrocket.png,pancakes.png,shortrocket.mp3,3,critical no contrast,755,1278,755,1970
A,shorthammer.png,briefcase.png,longhockeystick.png,shorthockeystick.png,shorthockeystick.mp3,4,critical with contrast,942,1407,942,2317
A,fatpencil.png,bagel.png,curtains.png,fatcat.png,fatpencil.mp3,1,critical no contrast,1050,1769,1050,2316
A,longwig.png,shortwig.png,shortplunger.png,zebra.png,shortwig.mp3,2,critical with contrast,831,1376,831,1896
A,cupcake.png,skinnyman.png,skinnycandycane.png,phone.png,skinnycandycane.mp3,3,critical no contrast,1043,1631,1043,2431
A,skinnywoman.png,jellyfish.png,flower.png,skinnyknife.png,skinnyknife.mp3,4,critical no contrast,1073,1636,1073,2265
A,skinnytie.png,fattie.png,sink.png,skinnydog.png,skinnytie.mp3,1,critical with contrast,876,1582,876,2046
A,narrowcolumn.png,widecolumn.png,widedoor.png,olives.png,widecolumn.mp3,2,critical with contrast,921,1453,921,2012
A,balloon.png,thinstick.png,thinbandaid.png,thickbandaid.png,thinbandaid.mp3,3,critical with contrast,1033,1669,1033,2315
A,kite.png,pinecone.png,yoyo.png,smallsuitcase.png,smallsuitcase.mp3,4,critical no contrast,856,1459,856,2424
A,thinruler.png,thickruler.png,pear.png,thinarrow.png,thinruler.mp3,1,critical with contrast,967,1377,967,1967
A,tallbeer.png,shortbeer.png,shorttable.png,passport.png,shortbeer.mp3,2,critical with contrast,908,1671,908,2090
A,lock.png,shortladder.png,shortjar.png,beetle.png,shortjar.mp3,3,critical no contrast,970,1671,970,2203
